Year,Team,With Top 5 Players,Total VORP,Total TS%,Total TRB%,Total AST%,Total BPM,Total WS,Total WS/48,Wins,Losses,Total Games,Win %
2010,MIL,True,1.08,56.31999999999999,16.0,19.84,0.74,4.12,0.1206,46,36,82,0.5609756097560976
2010,MIN,True,0.9200000000000002,53.29999999999999,16.76,18.22,-0.019999999999999973,4.04,0.1086,15,67,82,0.18292682926829268
2010,NJN,True,1.3,56.900000000000006,14.680000000000001,23.580000000000002,0.48,4.959999999999999,0.1206,12,70,82,0.14634146341463414
2010,NOH,True,2.94,58.06,15.02,23.520000000000003,2.04,8.459999999999999,0.1492,37,45,82,0.45121951219512196
2010,NYK,True,1.7799999999999998,65.58,17.68,24.7,3.2399999999999998,5.6,0.152,29,53,82,0.35365853658536583
2010,OKC,True,1.2,57.68000000000001,13.1,17.619999999999997,0.5,4.140000000000001,0.1278,50,32,82,0.6097560975609756
2010,ORL,True,3.0400000000000005,58.81999999999999,16.28,23.7,3.3600000000000003,8.18,0.188,59,23,82,0.7195121951219512
2010,PHI,True,1.64,54.480000000000004,15.419999999999998,18.1,0.6200000000000001,5.18,0.1132,27,55,82,0.32926829268292684
2010,PHO,True,1.92,60.6,13.120000000000001,19.56,1.6,5.68,0.135,54,28,82,0.6585365853658537
2010,POR,True,3.2600000000000002,60.43999999999999,21.240000000000002,24.559999999999995,3.06,8.9,0.1702,50,32,82,0.6097560975609756
2010,SAC,True,0.76,58.419999999999995,14.3,23.080000000000002,0.019999999999999962,3.5199999999999996,0.1212,25,57,82,0.3048780487804878
2010,SAS,True,2.8400000000000003,59.57999999999999,15.219999999999999,22.580000000000002,4.76,7.539999999999999,0.22060000000000005,50,32,82,0.6097560975609756
2010,TOR,True,1.9600000000000002,58.06,18.339999999999996,23.439999999999998,1.02,6.5,0.1332,40,42,82,0.4878048780487805
2010,UTA,True,2.4200000000000004,57.56,15.76,21.259999999999998,2.1,6.9799999999999995,0.1436,53,29,82,0.6463414634146342
2010,WAS,True,1.6199999999999999,58.33999999999999,15.8,27.119999999999997,0.9400000000000001,4.619999999999999,0.1332,26,56,82,0.3170731707317073
2011,ATL,True,3.06,55.7,14.559999999999999,21.48,2.46,8.32,0.1484,44,38,82,0.5365853658536586
2011,BOS,True,3.06,59.62,16.1,25.6,2.8400000000000003,8.18,0.15720000000000003,56,26,82,0.6829268292682927
2011,CHA,True,1.7599999999999998,59.260000000000005,17.28,19.2,2.5,5.82,0.174,34,48,82,0.4146341463414634
2011,CHI,True,2.3,57.46,16.32,17.48,1.8799999999999997,6.540000000000001,0.13520000000000001,62,20,82,0.7560975609756098
2011,CLE,True,1.64,59.42000000000001,13.860000000000003,21.52,1.52,5.7,0.1372,19,63,82,0.23170731707317074
2011,DAL,True,2.6,61.919999999999995,15.280000000000001,22.580000000000002,2.2,7.44,0.16299999999999998,57,25,82,0.6951219512195121
2011,DEN,True,2.8199999999999994,61.5,15.459999999999999,24.46,2.52,8.120000000000001,0.1686,50,32,82,0.6097560975609756
2011,DET,True,1.04,53.46000000000001,14.719999999999999,23.2,0.18,3.3400000000000007,0.0892,30,52,82,0.36585365853658536
2011,GSW,True,1.56,57.8,16.5,19.04,0.9799999999999999,4.84,0.13079999999999997,36,46,82,0.43902439024390244
2011,HOU,True,1.8799999999999997,58.50000000000001,15.460000000000003,22.4,1.3199999999999998,6.2,0.13479999999999998,43,39,82,0.524390243902439
2011,IND,True,0.9800000000000001,54.559999999999995,13.839999999999998,21.06,0.15999999999999998,3.6199999999999997,0.1046,37,45,82,0.45121951219512196
2011,LAC,True,1.28,57.519999999999996,14.959999999999999,22.56,0.6,4.06,0.1078,32,50,82,0.3902439024390244
2011,LAL,True,3.0000000000000004,57.099999999999994,15.5,19.68,2.8600000000000003,8.36,0.16920000000000002,57,25,82,0.6951219512195121
2011,MEM,True,2.2,58.16000000000001,16.6,19.220000000000002,1.42,6.92,0.13079999999999997,46,36,82,0.5609756097560976
2011,MIA,True,4.860000000000001,60.36,17.54,28.439999999999998,5.140000000000001,10.379999999999999,0.19540000000000002,58,24,82,0.7073170731707317
2011,MIL,True,1.78,55.89999999999999,17.72,21.22,1.24,5.82,0.14020000000000002,35,47,82,0.4268292682926829
2011,MIN,True,1.06,54.42,15.62,25.56,0.8400000000000001,4.5200000000000005,0.126,17,65,82,0.2073170731707317
2011,NJN,True,2.2,58.33999999999999,16.880000000000003,28.580000000000002,1.8199999999999998,6.459999999999999,0.1426,24,58,82,0.2926829268292683
2011,NOH,True,2.0200000000000005,59.519999999999996,16.560000000000002,25.54,2.06,6.1,0.1586,46,36,82,0.5609756097560976
2011,NYK,True,2.54,61.08,15.12,22.939999999999998,1.8200000000000003,8.04,0.15860000000000002,42,40,82,0.5121951219512195
2011,OKC,True,2.7800000000000002,61.77999999999999,15.960000000000003,24.340000000000003,3.2199999999999998,7.740000000000002,0.1936,55,27,82,0.6707317073170732
2011,ORL,True,2.66,59.13999999999999,14.959999999999999,28.140000000000004,2.46,8.04,0.17240000000000003,52,30,82,0.6341463414634146
2011,PHI,True,1.1600000000000001,53.900000000000006,11.84,22.5,-0.13999999999999999,3.9200000000000004,0.09580000000000001,41,41,82,0.5
2011,PHO,True,2.7400000000000007,61.86000000000001,14.8,27.580000000000002,2.62,7.580000000000001,0.1602,40,42,82,0.4878048780487805
2011,POR,True,2.94,60.919999999999995,19.119999999999997,21.74,3.3199999999999994,8.2,0.164,48,34,82,0.5853658536585366
2011,SAC,True,1.42,57.2,13.940000000000001,17.48,0.96,5.1,0.12179999999999999,24,58,82,0.2926829268292683
2011,SAS,True,2.7800000000000002,57.300000000000004,16.6,22.659999999999997,3.5800000000000005,7.580000000000001,0.17460000000000003,61,21,82,0.7439024390243902
2011,TOR,True,0.9,59.919999999999995,18.68,25.6,1.44,4.26,0.13340000000000002,22,60,82,0.2682926829268293
2011,UTA,True,2.2800000000000002,56.58,13.940000000000001,28.139999999999997,2.54,6.74,0.1476,39,43,82,0.47560975609756095
